,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
383,Housemade Granola,Fresh Inspirations,Breakfast,"Saturday, February 05, 2022","['Vegetarian', 'Halal', 'Nourish']",Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,1/2 cup,360.18,17.33,47.13,8.03,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
384,Fruit Salad,Fresh Inspirations,Breakfast,"Saturday, February 05, 2022","['Vegan', 'Halal', 'Nourish']",A delicious and nutritious blend of fresh fruit!, 1/2 Cup,42.3,0.64,9.79,0.49,,"Cantaloupe, pineapple, red grapes, honeydew melon"
385,Oatmeal,Fresh Inspirations,Breakfast,"Saturday, February 05, 2022","['Vegan', 'Halal', 'Nourish']",Hot old-fashioned rolled oats (may contain wheat/gluten),7 oz,105.04,1.94,18.85,3.6,Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
386,Hard Boiled Eggs,Fresh Inspirations,Breakfast,"Saturday, February 05, 2022","['Vegetarian', 'Halal', 'Nourish']","Cage-free, hard boiled eggs",1 each,71.5,4.76,0.36,6.28,Egg,Cage free eggs
387,Mini Plain Bagel,Harvest Bakery,Breakfast,"Saturday, February 05, 2022","['Vegan', 'Halal']","Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 bagel,359.99,1.5,71,12.99,Gluten/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
388,Zucchini Bread,Harvest Bakery,Breakfast,"Saturday, February 05, 2022",['Vegetarian'],"(may contain: peanuts, tree nuts)",1 slice,95.21,4.39,13.18,1.1,Egg/Gluten/Soybean Oil/Wheat,"Unbleached Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Pure Cane Sugar, Zucchini, Soybean Salad Oil, Eggs, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Cinnamon, Salt, Potassium Sorbate"
389,Raspberry Peach Danish,Harvest Bakery,Breakfast,"Saturday, February 05, 2022",['Vegetarian'],"(may contain: peanuts, tree nuts)",each,180,10,18,3,Dairy/Egg/Gluten/Wheat,"Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Milk, Butter|(Pasteurized Cream [Milk], Natural Flavors), Sugar, Yeast, Salt, Cream Cheese|(Pasteurized Cultured Milk and Cream, Salt, Stabilizers [Xanthan and/or Carob Bean and/or Guar Gums]), Pure Cane Sugar, Raspberries, Water, Eggs, Modified Food Stach, Corn Syrup, Glaze (Dextrose, Fruit Pectin, Fumaric Acid [Fortartness], Sodium Citrate)"
390,Cheeseburger,Tomato Street Grill,Lunch,"Saturday, February 05, 2022",[],"Ground beef, grilled and served on a sesame bun with melted American cheese.",burger,495.67,32.33,29.86,28.01,Dairy/Soy/Gluten/Sesame/Soybean Oil/Wheat/Mushroom,
391,Curry Jackfruit Burger,Tomato Street Grill,Lunch,"Saturday, February 05, 2022","['Vegan', 'Halal']",House made jackfruit burger with a tomato phesto aioli, 1 burger,668.85,40.69,71.53,12.36,Tree Nuts/Gluten/Sesame/Soybean Oil/Wheat,"Curry jackfruit burger patty (raw jackfruit, garbanzo bean flour [garbanzo beans. Per manufacturer, processed in a facility that also processes wheat/gluten, tree nuts, dairy, egg, soy, and sesame], red onion, fresh cilantro, canola oil, iodized salt, ginger, ground black pepper, thickener [modified cornstarch, rice flour, corn oil. Per manufacturer, made on equipment that also processes soy, wheat, and dairy], dark chili powder, curry powder, turmeric, cumin), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, yeast nutrient [ammonium sulfate], dough conditioners [mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide], calcium sulfate, enzymes, calcium propionate, sesame seeds), house tomato phesto"" aioli (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], house tomato ""phesto"" spread [canola/olive oil blend, house-made halal roasted tomato sauce [Roma tomatoes, pear tomatoes, extra virgin olive oil, canola/olive oil blend, garlic, iodized salt, fresh basil, beet sugar], yellow onion, walnuts, sundried tomatoes, red Fresno pepper, fresh parsley, beet sugar, iodized salt], lemon zest), lettuce, tomato, canola oil, red onion"""
392,Curly Fries,Tomato Street Grill,Lunch,"Saturday, February 05, 2022","['Vegan', 'Halal']",Crispy curly fries lightly seasoned,3 oz,204.55,13.45,17.61,1.68,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)"
393,Grilled Tri Tip,Bistro,Lunch,"Saturday, February 05, 2022",[],,1 GL,-1,-1,-1,-1,No Major Allergens,
394,Sauteed Swiss Chard,Bistro,Lunch,"Saturday, February 05, 2022","['Vegan', 'Nourish']",Swiss chard sauteed with garlic and champagne vinegar.,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
395,Roasted Potatoes,Bistro,Lunch,"Saturday, February 05, 2022","['Vegan', 'Halal', 'Nourish']","Lightly roasted potatoes with salt, pepper and oil.",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
396,Vegetable Medley,Bistro,Lunch,"Saturday, February 05, 2022","['Vegan', 'Halal', 'Nourish']","Lightly roasted with salt, pepper and oil.",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
397,Savory White Beans,Bistro,Lunch,"Saturday, February 05, 2022","['Vegan', 'Halal', 'Nourish']","White beans with celery, tomatoes, and herbs",N/A,N/A,N/A,N/A,N/A,No Major Allergens,
398,Persian Rice,Bistro,Lunch,"Saturday, February 05, 2022","['Vegan', 'Halal', 'Nourish']",White rice cooked with Spanish saffron and fresh parsley,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
399,New England Clam Chowder,Fresh Inspirations,Lunch,"Saturday, February 05, 2022",[],House-made clam chowder with bits of bacon,1 cup,193.73,9.54,16.65,8,Soybean Oil/Dairy/Shellfish/Gluten/Wheat/Soy,"Reduced fat milk, clam juice (ocean clam juice, salt), hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), clams, heavy whipping cream, celery, unbleached hi-gluten flour, cornstarch, clam soup base (cooked clams, clam broth, salt, maltodextrin flavor [yeast extract, corn syrup solids, salt, citric acid], butter, sugar, dehydrated potato [potatoes, mono- and diglycerides, sodium acid pyrophosphate, citric acid], sodium phosphate, onion powder, disodium inonsinate, disodium guanylate, cod liver oil, flavoring), yellow onion, bacon, canola oil, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), Tabasco sauce (distilled vinegar, red pepper, salt), garlic, dill, ground black pepper, thyme, tarragon"
400,Spicy Vegan Chili,Fresh Inspirations,Lunch,"Saturday, February 05, 2022",[],,1 BAG,3086.63,43.42,590.03,136.58,Mushroom,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (contains mushroom), red wine vinegar, salt, dark chili pepper, canola oil, jalapeno, garlic, ground black pepper, cayenne pepper, cumin, red Fresno pepper, Habanero pepper, Serrano pepper, canola/olive oil blend"
401,Seasonal Student Farm Roasted Vegetable Salad,Fresh Inspirations,Lunch,"Saturday, February 05, 2022",['Vegan'],"House pasta salad featuring roasted student farm vegetables, house tomato vinaigrette and local tochetti pasta",1/2 cup,108.59,4.32,14.96,2.59,Gluten/Wheat,"FG CSC Dressing Vinaigrette Tomato Basil (CANOLA/OLIVE OIL BLEND;Vinegar, Rice, Natural;PRECUT, Tomato, Diced, 1/2in;SUGAR;Herb, Basil;SALT;GARLIC;GROUND BLACK PEPPER;CSC Finish Goods OVERHEAD COST;);"
402,Red Skin Potato Salad with Eggs,Fresh Inspirations,Lunch,"Saturday, February 05, 2022","['Vegetarian', 'Halal']",, 1/2 cup,230.01,13.01,24,3,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
403,Classic California Pasta Salad,Fresh Inspirations,Lunch,"Saturday, February 05, 2022","['Vegan', 'Halal']",,1 serving,140,4,22,4,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
404,Caesar Salad,Fresh Inspirations,Lunch,"Saturday, February 05, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
405,Deli Bar,Fresh Inspirations,Lunch,"Saturday, February 05, 2022",[],"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",1 EA,-1,-1,-1,-1,,
406,Mini Plain Bagel,Fresh Inspirations,Lunch,"Saturday, February 05, 2022","['Vegan', 'Halal']","Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 bagel,359.99,1.5,71,12.99,Gluten/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
407,Zucchini Bread,Harvest Bakery,Lunch,"Saturday, February 05, 2022",['Vegetarian'],"(may contain: peanuts, tree nuts)",1 slice,95.21,4.39,13.18,1.1,Egg/Gluten/Soybean Oil/Wheat,"Unbleached Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Pure Cane Sugar, Zucchini, Soybean Salad Oil, Eggs, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Cinnamon, Salt, Potassium Sorbate"
408,Raspberry Peach Danish,Harvest Bakery,Lunch,"Saturday, February 05, 2022",['Vegetarian'],"(may contain: peanuts, tree nuts)",each,180,10,18,3,Dairy/Egg/Gluten/Wheat,"Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Milk, Butter|(Pasteurized Cream [Milk], Natural Flavors), Sugar, Yeast, Salt, Cream Cheese|(Pasteurized Cultured Milk and Cream, Salt, Stabilizers [Xanthan and/or Carob Bean and/or Guar Gums]), Pure Cane Sugar, Raspberries, Water, Eggs, Modified Food Stach, Corn Syrup, Glaze (Dextrose, Fruit Pectin, Fumaric Acid [Fortartness], Sodium Citrate)"
409,Creamy Marinara Pasta with Lentil Penne,Harvest Bakery,Dinner,"Saturday, February 05, 2022",['Vegetarian'],"Gluten-free lentil pasta in tomato sauce mellowed with butter and cream, topped with Parmesan cheese and basil", 8 oz,64.67,0.93,9.61,2.29,Dairy/Mushroom/Alcohol,"Gluten-free lentil penne pasta (red lentil flour, white rice, pea protein. Prepared in canola oil), house-made marinara sauce (tomatoes, tomato paste, yellow onion, red cooking wine, gluten-free vegetable broth [reconstituted vegetable juice blend {water and concentrated juices of carrot, celery, tomato}, maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor], canola oil, cornstarch, garlic, beet sugar, whole fennel seed, Italian seasoning, ground black pepper, Mediterranean oregano, basil), Parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes), yellow onion, heavy whipping cream (heavy cream. Contains less than 1% of carrageenan), salted butter, canola/olive oil blend, garlic, fresh basil"
410,Garlic Breadsticks,Harvest Bakery,Dinner,"Saturday, February 05, 2022","['Vegetarian', 'Halal']",Golden brown breadsticks coated with a garlic herb oil and Parmesan cheese.,1 breadstick,100,3.5,15,3,Dairy/Gluten/Soy/Wheat,"Breadstick (enriched flour, water, palm oil, sugar. Contains 2% or less of: salt, yeast, wheat gluten, dextrose, guar gum, ethoxylated mono- and diglycerides, wheat starch, datem, defatted soy flour, enzymes, monoglyceride, ascorbic acid, azodicarbonamide, calcium peroxide). Prepared with canola oil garlic spread (natural oil blend [soybean, palm fruit, palm kernel and/or canola], garlic, water, sweet cream, buttermilk, salt. Contains 2% or less of: spice, soy lecithin, mono- and diglycerides, onion powder, potassium sorbate and sodium benzoate, citric acid, natural and artificial flavor, vitamin A palmitate, beta carotene, lactic acid)"
