,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
448,Romaine Lettuce,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 cup, 7.99, 0.14, 1.55, 0.58,,,Fresh Romaine lettuce
449,Chia Seeds,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 137.73, 8.71, 11.94, 4.69,,,Organic chia seeds
450,New England Clam Chowder,[],"Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 cup, 193.73, 9.54, 16.65, 8,House-made clam chowder with bits of bacon,Soybean Oil/Dairy/Shellfish/Gluten/Wheat/Soy,"Reduced fat milk, clam juice (ocean clam juice, salt), hash brown potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], contains less than 2% of dextrose, maltodextrin, sea salt, tetrasodium pyrophosphate, disodium dihydrogen pyrophosphate), clams, heavy whipping cream, celery, unbleached hi-gluten flour, cornstarch, clam soup base (cooked clams, clam broth, salt, maltodextrin flavor [yeast extract, corn syrup solids, salt, citric acid], butter, sugar, dehydrated potato [potatoes, mono- and diglycerides, sodium acid pyrophosphate, citric acid], sodium phosphate, onion powder, disodium inonsinate, disodium guanylate, cod liver oil, flavoring), yellow onion, bacon, canola oil, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), Tabasco sauce (distilled vinegar, red pepper, salt), garlic, dill, ground black pepper, thyme, tarragon"
451,Minestrone Soup with Pasta,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 cup, 54.23, 0.09, 9.23, 1.82,"A hearty tomato-based broth with a medley of vegetables, beans, and elbow macaroni.",Gluten/Wheat/Mushroom,"House Minestrone soup (garbanzo beans, tomato, white beans, green cabbage, gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato), corn starch, green beans, celery, yellow onion, broccoli, tomato paste, canola oil, iodized salt, ground black pepper, parsley, beet sugar, garlic), elbow macaroni (semolina flour, durum wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid. Prepared with canola oil)"
452,Turkey Bean Chili,['Nourish'],"Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 cup, 74.2, 0.59, 11.21, 2.99,"Turkey chili made with black beans, white beans, and spices",,"Ground turkey, tomato, black beans, white beans, turkey breast, yellow onion, white corn masa flour, Jalapeno pepper, canola oil, cornstarch, dark chili powder, salt, gluten-free chicken soup base (chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor), paprika, cumin, cayenne pepper, garlic, ground bay leaf"
453,Roasted Butternut Squash and Amaranth Salad,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 1/2 cup, 93.34, 5.52, 10.44, 1.86,,,"Butternut squash, organic gluten-free amaranth, kale, tomato, canola/olive oil blend, rice vinegar, red onion, fresh basil, garlic, beet sugar, iodized salt, ground white pepper"
454,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Friday, February 18, 2022",Dinner,Fresh Inspirations,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
455,Classic California Pasta Salad,"['Vegan', 'Halal']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
456,CHEF CHOICE SALAD,[],"Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 EA, -1, -1, -1, -1,,,
457,Caesar Salad,['Halal'],"Friday, February 18, 2022",Dinner,Fresh Inspirations, 1 SV, 501.86, 41.48, 23.93, 15.54,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
458,Hummus,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 2 tbsp (1 oz), 37.29, 1.82, 3.97, 1.59,"Garbanzo beans blended with olive oil, lemon juice, garlic and tahini",Sesame,"Garbanzo beans, yellow onion, Tahini paste (ground hulled sesame seeds), garlic, canola/olive oil blend, lemon juice, iodized salt"
459,White Bean Dip,"['Vegan', 'Halal', 'Nourish']","Friday, February 18, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 22.67, 0.75, 2.95, 0.97,"Pureed white beans with canola and olive oil, garlic, and fresh basil.",,"Canned white beans (prepared small white beans, water, salt, calcium chloride), canola/olive oil blend, garlic, iodized salt, fresh basil, seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)"
460,Carrot Cake,"['Vegetarian', 'Halal']","Friday, February 18, 2022",Dinner,Harvest Bakery, 1 slice, 290, 14, 38, 3,,Dairy/Egg/Gluten/Soy/Soybean Oil/Tree Nuts/Wheat,"Sugar, enriched bleached flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), carrots, eggs, vegetable oil (soybean and palm oils), cream cheese (pasteurized milk and cream, cheese culture, salt, carob bean gum), walnuts, crushed pineapple (pineapple, unsweetened pineapple juice, ascorbic acid). Contains 2% or less of margarine (palm oil, water, soybean oil, salt, mono- and diglycerides [from vegetable sources], artificial flavor, annatto, calcium disodium EDTA, vitamin A palmitate), modified corn starch, high fructose corn syrup, whey, cinnamon, pecans, corn syrup, salt, leavening (sodium acid pyrophosphate, baking soda, monocalcium phosphate), mono- and diglycerides, corn starch, cocoa processed with alkali, natural and artificial flavors, polysorbate 60, soy lecithin"
461,Chocolate Chunk Cookie,"['Vegetarian', 'Halal']","Friday, February 18, 2022",Dinner,Harvest Bakery, each, 190, 12, 34, 2,"Made in a facility that also processes peanuts and tree nuts (almonds, coconut, macadamia nuts, pecans, walnuts)",Dairy/Egg/Gluten/Soy/Wheat,"Enriched bleached flour (bleached wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), semi-sweet chocolate chunks (sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavors), margarine (palm oil, water, contains 2% of less of salt, mono- and diglycerides, natural flavor [includes milk], citric acid, vitamin A palmitate, beta carotene), sugar, invert sugar, eggs, corn syrup, contains 2% or  less of butter (cream [milk], salt), whey, modified corn starch, chicory root fiber, natural and artificial flavor, molasses, baking soda, salt"
462,Vegan Oatmeal Raisin Cookie,['Vegan'],"Friday, February 18, 2022",Dinner,Harvest Bakery, 1 cookie, 177, 6.1, 41, 3,,Alcohol [vanilla extract]/Gluten/Wheat,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda"
463,Chicken Sausage Breakfast Sandwich,[],"Saturday, February 19, 2022",Breakfast,Tomato Street Grill, 1 EA, -1, -1, -1, -1,,"Dairy, Egg, Wheat",
464,Fries Wedges Spicy,"['Vegan', 'Halal']","Saturday, February 19, 2022",Breakfast,Tomato Street Grill, 3 oz, 177.55, 12.48, 14.94, 1.4,Crispy-fried and seasoned potato wedges,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)"
465,Have a SUPER Saturday!,[],"Saturday, February 19, 2022",Breakfast,Saucey Saute, N/A, N/A, N/A, N/A, N/A,,,
466,House Roasted Salsa,"['Vegan', 'Halal', 'Nourish']","Saturday, February 19, 2022",Breakfast,Saucey Saute, 2 tbsp, 12.55, 0.5, 1.98, 0.4,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
467,Scrambled Egg Whites,"['Vegetarian', 'Halal', 'Nourish']","Saturday, February 19, 2022",Breakfast,Saucey Saute, 3.5 oz, 95.1, 5.18, 0.78, 10.15,,Egg,"Cage-free egg whites, canola oil"
468,Sticky Rice,"['Vegan', 'Halal']","Saturday, February 19, 2022",Breakfast,Saucey Saute, 1/2 cup (3 oz), 161.7, 0.26, 35.64, 2.97,Steamed white calrose rice,,"White rice, water"
469,Mini Plain Bagel,"['Vegan', 'Halal']","Saturday, February 19, 2022",Breakfast,Harvest Bakery, 1 bagel, 359.99, 1.5, 71, 12.99,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
470,Lemon Zatar Chicken,['Halal'],"Saturday, February 19, 2022",Lunch,Seasonality East, 3.5 oz, 245.67, 18.02, 3.09, 18.54,Za`atar and lemon seasoned chicken,,"Halal chicken drumsticks, lemon juice, canola/olive oil blend, house za`atar seasoning (ground sumac, ground coriander, ground cumin, thyme, crushed red pepper), fresh Italian parsley, garlic, kosher salt"
471,Herb Roasted Red Potatoes,"['Vegan', 'Halal', 'Nourish']","Saturday, February 19, 2022",Lunch,Seasonality East, 3 oz, 64.73, 1.15, 12.72, 1.51,Roasted red potatoes tossed with herbs and lemon juice,,"Red potatoes, lemon juice, canola/olive oil blend, kosher salt, fresh Italian parsley, thyme, Mediterranean oregano"
472,Lemon Roasted Carrots,"['Vegan', 'Halal', 'Nourish']","Saturday, February 19, 2022",Lunch,Seasonality East, 85, 2.1, 0.11, 0.3, 0.03,Lightly roasted carrots tossed with lemon juice,,"Carrots, lemon juice, canola/olive oil blend, kosher salt, ground black pepper"
473,Baked Potato Soup,[],"Saturday, February 19, 2022",Lunch,Fresh Inpsirations, 1 cup, 271.55, 12.76, 28.2, 10.86,"Chicken-based potato soup made with bacon, onion, basil, and spices, tied together with cheddar cheese",Dairy/Soybean Oil/Gluten/Wheat,"Water, Potato Hash Browns, 2% Milk, Bacon, Cheddar Cheese, All-Purpose Flour, Canola/Olive Oil Blend, Yellow Onion, Green Onion, Gluten-Free Chicken Soup Base, Modified Food Starch (corn), Fresh Parsley, Garlic, Salt, Ground Black Pepper, Dried Basil, Ground Cayenne Pepper"
474,Black Bean Soup,"['Vegan', 'Nourish']","Saturday, February 19, 2022",Lunch,Fresh Inpsirations, 1/2 cup, 313.71, 9.05, 47.91, 13.57,"Vegetable based black bean soup with potatoes, onions, carrots and celery",Mushroom,"Water, Black Bean, Potato, Yellow Onion, Celery, Carrot, Gluten-Free Vegetable Soup Base, Garlic, Fresh Cilantro, Cornstarch, Canola Oil, Ground Black Pepper, Salt, Ground Cumin, Lemon Juice, Ground Cayenne Pepper"
475,Potato Soyrizo Burrito,['Vegan'],"Saturday, February 19, 2022",Lunch,Tomato Street Grill, 1/2 burrito, 385.35, 25.4, 32.44, 9.51,"A delicious burrito stuffed with soyrizo, tofu (OR), fried potatoes, and black beans. Served with fresh cilantro and vegan sour",Gluten/Soybean Oil/Wheat/*Ingredient prepared in a fryer that`s not allergen-free/Soy,"Flour Tortilla, Potato, Tofutti Sour Cream [vegan], Soy Chorizo, Firm Tofu, Canned Black Beans, Canola/Olive Oil Blend, Yellow Onion, Garlic, Seasoned Salt (Salt, Onion Powder, Granulated Garlic, Sugar, Ground White Pepper, Ground Paprika), Fresh Cilantro"
476,Chili Beans,"['Vegan', 'Nourish']","Saturday, February 19, 2022",Lunch,Tomato Street Grill, 1 cup, 154.59, 1.9, 29.74, 6.92,"Pinto beans simmered in broth with green chiles, corn and spices",Mushroom,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (reconstituted vegetable juice blend [concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), red wine vinegar, salt, dark chili pepper, canola oil, Jalapeno peppers, garlic, ground black pepper, Cayenne pepper, cumin"
477,Seasonal Student Farm Roasted Vegetable Salad,"['Vegan', 'Halal', 'Nourish']","Saturday, February 19, 2022",Lunch,Tomato Street Grill, 1/2 cup, 108.59, 4.32, 14.96, 2.59,"Pasta salad featuring roasted student farm vegetables, house tomato vinaigrette, and local torchiette pasta",Gluten/Wheat,"Torchiette pasta noodles (durum wheat flour [durum wheat, niacin, ferrous sulfate, thiamin mononitrate, riboflavin, folic acid], annatto. Prepared in canola oil), assorted UC Davis Student Farm vegetables, house tomato basil vinaigrette (canola/olive oil blend, tomato, rice vinegar, beet sugar, fresh basil, iodized salt, garlic, ground black pepper)"
478,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Saturday, February 19, 2022",Lunch,Tomato Street Grill,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
479,Classic California Pasta Salad,"['Vegan', 'Halal']","Saturday, February 19, 2022",Lunch,Tomato Street Grill, 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
